City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,alamosa,37.4695,-105.87,10.99,87,100,10.36,US,1694652287
131,barra do bugres,-15.0725,-57.1811,24.99,76,99,7.49,BR,1694652287
132,tobruk,32.0836,23.9764,23.85,66,0,10.76,LY,1694652287
133,wailua homesteads,22.0669,-159.378,27.24,84,75,9.22,US,1694652287
134,pathein,16.7833,94.7333,26.34,90,100,4.59,MM,1694652287
135,cabo san lucas,22.8909,-109.9124,32.61,76,13,9.51,MX,1694652287
136,shelomi,33.0747,35.1461,25.8,70,0,6.11,IL,1694652287
137,manchester,53.4809,-2.2374,15.77,74,100,6.91,GB,1694652230
138,sinop,41.7711,34.8709,12.04,50,0,5.95,TR,1694652287
139,mount gambier,-37.8333,140.7667,20.79,49,100,11.68,AU,1694652288
140,senanga,-16.1167,23.2667,19.49,58,0,7.0,ZM,1694652288
141,porbandar,21.6422,69.6093,27.42,81,86,11.01,IN,1694652054
142,bathsheba,13.2167,-59.5167,29.34,79,40,5.75,BB,1694652288
143,gulf shores,30.246,-87.7008,27.82,74,0,0.0,US,1694652288
144,kone,-21.0595,164.8658,19.71,88,100,6.04,NC,1694652288
145,vilyuchinsk,52.9306,158.4028,22.15,82,100,7.56,RU,1694652288
146,tucacas,10.7906,-68.3258,28.22,83,68,7.58,VE,1694652288
147,tilisarao,-32.7329,-65.2911,12.49,25,92,5.59,AR,1694652289
148,smithers,54.7804,-127.1743,17.18,36,40,6.91,CA,1694652289
149,stanley,54.868,-1.6985,12.65,87,40,8.05,GB,1694652289
150,aleysk,52.4926,82.7822,11.74,88,100,4.7,RU,1694652289
151,dunedin,-45.8742,170.5036,16.15,38,93,13.18,NZ,1694652289
152,nova vicosa,-17.8919,-39.3719,23.07,79,0,11.34,BR,1694652289
153,haiku-pauwela,20.9219,-156.3051,31.01,45,40,16.11,US,1694652289
154,oranjemund,-28.55,16.4333,11.01,93,3,3.56,NA,1694652289
155,kavaratti,10.5669,72.642,27.98,78,100,16.37,IN,1694652289
156,skeldon,5.8833,-57.1333,25.93,82,83,7.27,GY,1694652289
157,naze,28.3667,129.4833,28.51,78,40,9.46,JP,1694652290
158,coyhaique,-45.5752,-72.0662,6.34,100,100,4.43,CL,1694652290
159,batang,-6.4846,110.7083,28.74,55,7,8.5,ID,1694652290
160,moanda,-1.5575,13.2178,22.69,91,38,2.01,GA,1694652290
161,mount pleasant,32.7941,-79.8626,26.11,95,20,3.44,US,1694652290
162,longyearbyen,78.2186,15.6401,1.91,75,75,18.41,SJ,1694652290
163,gewane,10.1664,40.6453,29.02,47,93,4.61,ET,1694652290
164,nizhnyaya tavda,57.6731,66.1725,10.15,95,7,4.0,RU,1694652290
165,marsh harbour,26.5412,-77.0636,28.8,71,70,16.33,BS,1694652108
166,ust-nera,64.5667,143.2,4.7,91,99,4.03,RU,1694652291
167,tevriz,57.509,72.4042,8.3,94,17,2.57,RU,1694652291
168,akureyri,65.6835,-18.0878,0.96,93,40,0.0,IS,1694652120
169,carnarvon,-24.8667,113.6333,20.4,61,0,8.23,AU,1694652291
170,laojunmiao,39.8333,97.7333,16.19,34,92,0.85,CN,1694652291
171,puerto deseado,-47.7503,-65.8938,8.87,60,33,18.52,AR,1694652291
172,hecun,36.5333,114.1111,22.35,67,84,1.81,CN,1694652291
173,sisimiut,66.9395,-53.6735,4.38,96,100,20.36,GL,1694652173
174,phan rang-thap cham,11.5667,108.9833,29.83,60,94,1.68,VN,1694652291
175,villa el carmen,11.9801,-86.5057,31.65,76,11,5.12,NI,1694652291
176,kiunga,-6.1219,141.2906,26.67,72,92,6.76,PG,1694652292
177,hithadhoo,-0.6,73.0833,28.03,76,96,14.09,MV,1694652292
178,kuchaiburi,22.2667,86.1667,24.6,96,100,12.44,IN,1694652292
179,lihue,21.9789,-159.3672,27.58,83,75,9.22,US,1694652292
180,ancud,-41.8697,-73.8203,10.57,96,100,24.14,CL,1694652292
181,papao,-17.75,-149.55,26.82,75,81,26.19,PF,1694652292
182,souillac,-20.5167,57.5167,21.21,88,40,0.0,MU,1694652292
183,karratha,-20.7377,116.8463,24.78,38,0,7.16,AU,1694652292
184,great falls,47.5002,-111.3008,23.15,32,40,16.11,US,1694652293
185,ilulissat,69.2167,-51.1,8.01,57,100,17.27,GL,1694652293
186,malango,-2.9627,119.9001,25.27,51,66,3.65,ID,1694652293
